Vacancy;Company;Location
Staff CAD Engineer;Silicon Labs;Hyderabad, Telangana, India
PDK Support Engineer;IC Resources;Lausanne, Vaud, Switzerland
CAD Engineer;Synaptics Incorporated;Bangalore Urban, Karnataka, India
CAD技术专家3615;UNISOC;Shanghai, Shanghai, China
cad工程师;裕太微电子;Shanghai, Shanghai, China
EDA Engineer;Kandou S.A.;Lausanne, Vaud, Switzerland
DA Engineer(J11359);Yangtze Memory Technologies;Shanghai, Shanghai, China
CAD/EDA 工程师;上海复旦微电子集团股份有限公司;Shanghai, Shanghai, China
资深CAD工程师;裕太微电子;Shanghai, Shanghai, China
Pr. Engineer-CAD;Microchip Technology Inc.;Montreal, QC
Pr. Engineer-CAD;Microchip Technology Inc.;Ottawa, ON
Pr. Engineer-CAD;Microchip Technology Inc.;Burnaby, BC
Staff Layout Engineer;Navitas Semiconductor;Shanghai, China
CAD Support Engineer;ICsense;Leuven, Flemish Region, Belgium
Staff Engineer, ASIC Development Engineering;Western Digital;Bengaluru, Karnataka, India
芯片CAD——字节跳动岗位;杭州黑云杉企业管理咨询有限公司;Beijing, China
