;Vacancy;Company;Location
0;Staff CAD Engineer - Remote;Silicon Labs;Austin, TX
1;Staff Engineer, ASIC Development Engineering;Western Digital;Bengaluru, Karnataka, India
2;Staff Engineer Digital CAD;MaxLinear;Singapore, Singapore
3;Staff CAD Engineer - Remote;Silicon Labs;Boston, MA
4;Staff CAD Engineer;Silicon Labs;Hyderabad, Telangana, India
5;Digital Design Engineer;Silicon Labs;Singapore, Singapore
6;Process Quality Engineer;Hitachi ABB Power Grids;Prague, Prague, Czechia
7;IT Software development engineer;Intel Corporation;Bengaluru, Karnataka, India
8;Software Development Engineer in Test - Methodics;Perforce Software;Tallinn, Harjumaa, Estonia
9;Senior Software Engineer Full Stack;Perforce Software;Tallinn, Harjumaa, Estonia
10;Senior Software Engineer Full Stack;Perforce Software;Tallinn, Harjumaa, Estonia
11;Software Development Engineer in Test - Methodics;Perforce Software;Tallinn, Harjumaa, Estonia
12;Director of Product Management;Perforce Software;Minneapolis, MN
13;Director of Product Management;Perforce Software;Minneapolis, MN
14;Contract Commercial Advisor;Kyndryl;Budapest, Budapest, Hungary
15;Director of Product Management;Perforce Software;Burlington, MA
16;Director of Product Management;Perforce Software;Burlington, MA
17;Vice President of Sales, Methodics;Perforce Software;Minneapolis, MN
