Vacancy;Company;Location
Senior CAD Support Engineer, Delft;IC Resources;Delft, South Holland, Netherlands
Senior CAD Support Engineer;IC Resources;Delft, South Holland, Netherlands
CS Planning & Control Service Coordinator;ASML;Hwaseong, Gyeonggi, South Korea
Sr. EDA Engineer;Allegro MicroSystems;Greater Buenos Aires
Sr. EDA Engineer;Allegro MicroSystems;City of Buenos Aires, Buenos Aires Province, Argentina
Staff Engineer, Analog/Mixed-Signal Design, Technology Platforms;pSemi, A Murata Company;San Diego, CA
Lead Design Engineer;Cadence Design Systems;Nanjing, Jiangsu, China
Engineer II - CAD (Analog CAD Support - Simulation);Microchip Technology Inc.;Chandler, AZ
芯片EDA工程师;比科奇微电子(杭州)有限公司;Beijing, Beijing, China
Sr. CAD Engineer;SiTime;Delft, South Holland, Netherlands
Principal Design engineer PDK-CAD;Cadence Design Systems;Bengaluru, Karnataka, India
PDK Engineer;Cadence Design Systems;Nanjing, Jiangsu, China
Analog Layout Engineer;MediaTek;Woburn, MA
PQE;霍尼韦尔(中国)有限公司;Suzhou, Jiangsu, China
Staff Digital Design Engineer;Skyworks Solutions, Inc.;Nashua, NH
CAD技术专家3615;UNISOC;Shanghai, Shanghai, China
cad工程师;裕太微电子;Shanghai, Shanghai, China
CAD Engineer;上海楷登电子科技有限公司;Nanjing, Jiangsu, China
CAD工程师;上海曦智科技有限公司;Hangzhou, Zhejiang, China
XMC-CAD工程师;武汉新芯集成电路制造有限公司;Shanghai, Shanghai, China
DA Engineer(J11359);Yangtze Memory Technologies;Shanghai, Shanghai, China
质量工程师（过程质量）;霍尼韦尔(中国)有限公司;Suzhou, Jiangsu, China
资深芯片设计CAD工程师（ Senior IC CAD ）;武汉杰开科技有限公司;Shenzhen, Guangdong, China
CAD/EDA 工程师;上海复旦微电子集团股份有限公司;Shanghai, Shanghai, China
资深CAD工程师;裕太微电子;Shanghai, Shanghai, China
制造工程师;霍尼韦尔(中国)有限公司;Suzhou, Jiangsu, China
IT/CAD工程师(无锡);中科芯集成电路有限公司;Wuxi, Jiangsu, China
Pr. Engineer-CAD;Microchip Technology Inc.;Montreal, QC
Pr. Engineer-CAD;Microchip Technology Inc.;Ottawa, ON
Pr. Engineer-CAD;Microchip Technology Inc.;Burnaby, BC
SoC Mixed Signal Verification Engr-资深混合信号验证工程师;宁波奥拉半导体;Shanghai, Shanghai, China
芯片CAD——字节跳动岗位;杭州黑云杉企业管理咨询有限公司;Beijing, China
