Vacancy;Company;Location
Technical Lead - Embedded (Linux BSP);Arrow Electronics;Pune, Maharashtra, India
Lead Software Performance Engineer - 96303;AMD;Santa Clara, CA
MTS Product Development Eng.;AMD;Singapore, Singapore
Senior Technical Staff Engineer-Software;Microchip Technology Inc.;San Jose, CA
TIE Compiler Developer -Lead Software Engineer;Cadence Design Systems;San Jose, CA
Release Train Engineer;ASML;Veldhoven, North Brabant, Netherlands
Senior DevOps Engineer - Atlassian Suite;Skyworks Solutions, Inc.;Austin, TX
Software Architect Scanner Metrology;ASML;Veldhoven, North Brabant, Netherlands
Release Train Engineer Metrology Expose DUV;ASML;Veldhoven, North Brabant, Netherlands
Embedded Software Engineer;Analog Devices;Cluj-Napoca, Cluj, Romania
Linux Virtualization Performance Developer (kvm/qemu);AMD;Austin, TX
Software Technical Lead Engineer;Lam Research;Bengaluru, Karnataka, India
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Technical Lead - Embedded (Linux BSP);Arrow Electronics;Ahmedabad, Gujarat, India
Technologist, Firmware Engineering;Western Digital;San Jose, CA
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Lead Software Engineer, Synthesis;Cadence Design Systems;San Jose, CA
Senior Linux Developer (Ethernet);Intel Corporation;Gdańsk, Pomorskie, Poland
Senior Software Architect;Synopsys Inc;Cluj-Napoca, Cluj, Romania
Build tools - Senior Infrastructure Engineer;Western Digital;Bengaluru, Karnataka, India
Java Team Lead;proteanTecs;Haifa, Israel
Senior GNSS Systems Engineer;u-blox;Thalwil, Zurich, Switzerland
Senior Embedded Software Test Engineer;Cirrus Logic;Austin, TX
JAVA Developer Senior;NXP Semiconductors;Guadalajara, Jalisco, Mexico
EBI - Python Developer;NXP Semiconductors;Guadalajara, Mexico Metropolitan Area
Diagnostics Software Engineer 2 - 110682;AMD;Austin, TX
Embedded Software Test Engineer;Cirrus Logic;Mesa, AZ
Lead Software Engineer;Cadence Design Systems;Cork, County Cork, Ireland
Lead Software Engineer;Cadence Design Systems;Noida, Uttar Pradesh, India
Software Engineer;Synopsys Inc;Porto, Porto, Portugal
Senior Business Analyst I;Micron Technology;Singapore, Singapore
Sr. Product Development Engineer;AMD;Singapore, Singapore
Lead Software Engineer;Cadence Design Systems;Hsinchu County, Taiwan, Taiwan
Software Lead Development Engineer;Marvell Technology;Ettlingen, Baden-Württemberg, Germany
Software Architect - Customer Enablement & Migration Engineering;AMD;Austin, TX
Sr. Product Development Engineer;AMD;Singapore, Singapore
Senior Debugger Engineer (m/f/d);NXP Semiconductors;Graz, Styria, Austria
Engineering Program Manager - 108781;AMD;Austin, TX
Lead Software Engineer - Library Characterization;Cadence Design Systems;Gyeonggi, South Korea
Software Tools/DevOps Engineer - CI/CD Platform;Cirrus Logic;Austin, TX
Sr. Cloud Solution Architect;Micron Technology;Boise, ID
EDA Software Developer;Synopsys Inc;Gdansk Metropolitan Area
Lead Software Engineer;Cadence Design Systems;Noida, Uttar Pradesh, India
Tech Lead - Embedded Firmware Development;Faststream Technologies;Bengaluru, Karnataka, India
Software Architect;Synopsys Inc;Ottawa, ON
Senior Software Architect;ASML;San Jose, CA
Software Architect;Synopsys Inc;Markham, ON
Software Architect;Synopsys Inc;Toronto, ON
HW Release Engineer, I;Synopsys Inc;Yerevan, Armenia
EDA Driver and API Developer;Synopsys Inc;Gdansk Metropolitan Area
Software Architect;Synopsys Inc;Ottawa, Ontario, Canada
Software Architect;Synopsys Inc;Calgary, AB
Software Configuration Management Architect;ASML;Veldhoven, North Brabant, Netherlands
